name	d (m)	v1	v2	angle1 (deg)	angle2 (deg)	trackpoints
a116	17	v135	v015	127	-56	-0.368576,50.814914,0 -0.368446,50.814853,0 -0.368382,50.814826,0
a117	263	v136	v137	-13	167	-0.360638,50.815957,0 -0.361501,50.818258,0
a118	60	v136	v138	74	-106	-0.360638,50.815957,0 -0.359816,50.816108,0
a119	70	v136	v139	-105	75	-0.360638,50.815957,0 -0.361605,50.815794,0
a120	146	v140	v141	-13	172	-0.375819,50.824956,0 -0.375891,50.825148,0 -0.376034,50.825537,0 -0.376098,50.825744,0 -0.376138,50.826034,0 -0.376184,50.82625,0
a121	35	v142	v143	-33	147	-0.372487,50.8168,0 -0.372759,50.817066,0
a122	84	v142	v144	77	-103	-0.372487,50.8168,0 -0.371319,50.816968,0
a123	95	v142	v097	154	-26	-0.372487,50.8168,0 -0.371904,50.816031,0
a124	109	v145	v146	163	-8	-0.368869,50.82213,0 -0.368799,50.821985,0 -0.368626,50.821163,0
a125	53	v145	v147	-42	106	-0.368869,50.82213,0 -0.369095,50.822288,0 -0.369494,50.822361,0
a126	56	v145	v148	89	-91	-0.368869,50.82213,0 -0.368072,50.822135,0
a127	67	v149	v150	-95	87	-0.37209,50.821009,0 -0.372356,50.820993,0 -0.372513,50.82086,0 -0.372934,50.820846,0
a128	197	v149	v151	85	-95	-0.37209,50.821009,0 -0.369289,50.821151,0
a129	141	v149	v152	-3	177	-0.37209,50.821009,0 -0.372187,50.822272,0
a130	73	v153	v154	78	-102	-0.35945,50.821244,0 -0.35843,50.821378,0
a131	249	v153	v155	172	-15	-0.35945,50.821244,0 -0.359395,50.820988,0 -0.359355,50.820904,0 -0.359084,50.820951,0 -0.358651,50.821026,0 -0.358604,50.820933,0 -0.359042,50.820857,0 -0.359318,50.82081,0 -0.359285,50.820727,0 -0.358966,50.819973,0
a132	110	v153	v156	-11	169	-0.35945,50.821244,0 -0.359763,50.822216,0
a133	86	v153	v157	-97	83	-0.35945,50.821244,0 -0.360661,50.821145,0
a134	25	v158	v159	83	-97	-0.396378,50.828379,0 -0.396029,50.828407,0
a135	53	v158	v160	176	-6	-0.396378,50.828379,0 -0.396356,50.828153,0 -0.396315,50.827904,0
a136	189	v158	v161	-3	-104	-0.396378,50.828379,0 -0.396399,50.828605,0 -0.396439,50.829074,0 -0.396552,50.82992,0 -0.396313,50.829957,0
a137	524	v162	v163	-8	-87	-0.359493,50.835556,0 -0.359745,50.836649,0 -0.359745,50.836995,0 -0.359594,50.837625,0 -0.359541,50.837957,0 -0.35879,50.837955,0 -0.355915,50.837874,0
a138	322	v162	v164	-113	72	-0.359493,50.835556,0 -0.360116,50.835387,0 -0.361464,50.835095,0 -0.362504,50.834884,0 -0.363822,50.834616,0
a139	377	v162	v165	72	-101	-0.359493,50.835556,0 -0.357964,50.835869,0 -0.356883,50.836082,0 -0.355969,50.836235,0 -0.35509,50.836352,0 -0.354316,50.836446,0
a140	140	v166	v167	-2	-105	-0.384706,50.826441,0 -0.38474,50.826989,0 -0.384637,50.82713,0 -0.384466,50.827205,0 -0.383822,50.827314,0
a141	94	v168	v169	-12	168	-0.359195,50.834591,0 -0.359464,50.835417,0
a142	319	v168	v170	80	-79	-0.359195,50.834591,0 -0.357842,50.834744,0 -0.357504,50.834785,0 -0.357103,50.83486,0 -0.356929,50.834895,0 -0.356725,50.834912,0 -0.355486,50.834823,0 -0.355311,50.834818,0 -0.355172,50.834816,0 -0.355035,50.834808,0 -0.35472,50.834768,0
a143	10	v168	v171	-111	69	-0.359195,50.834591,0 -0.359328,50.834558,0
a144	42	v172	v173	-85	92	-0.356178,50.820273,0 -0.356486,50.820289,0 -0.356771,50.820294,0
a145	66	v172	v174	-13	167	-0.356178,50.820273,0 -0.356389,50.820852,0
a146	67	v172	v175	92	-102	-0.356178,50.820273,0 -0.35588,50.820268,0 -0.355583,50.820264,0 -0.355354,50.820284,0 -0.355231,50.820301,0
a147	39	v176	v177	169	-11	-0.370982,50.833216,0 -0.370876,50.832875,0
a148	91	v176	v178	-11	169	-0.370982,50.833216,0 -0.371233,50.834017,0
a149	39	v176	v179	-100	80	-0.370982,50.833216,0 -0.371524,50.833155,0
a150	257	v180	v181	174	-90	-0.382146,50.817985,0 -0.382037,50.817352,0 -0.381976,50.817309,0 -0.379413,50.817308,0
a151	41	v180	v182	106	-71	-0.382146,50.817985,0 -0.381786,50.817921,0 -0.381587,50.817878,0
a152	86	v180	v183	-74	94	-0.382146,50.817985,0 -0.382342,50.81802,0 -0.383356,50.818069,0
a153	123	v184	v185	1	-178	-0.367068,50.828643,0 -0.36705,50.829112,0 -0.367015,50.829748,0
a154	25	v184	v186	-124	95	-0.367068,50.828643,0 -0.367304,50.828541,0 -0.367373,50.828545,0
a155	53	v184	v187	-178	5	-0.367068,50.828643,0 -0.367072,50.828553,0 -0.367122,50.828168,0
a156	217	v188	v189	-29	171	-0.387176,50.814889,0 -0.387234,50.814954,0 -0.387295,50.815119,0 -0.38771,50.816802,0
a157	114	v188	v190	-125	72	-0.387176,50.814889,0 -0.387246,50.814858,0 -0.387946,50.814473,0 -0.38826,50.81437,0 -0.3885,50.81432,0
a158	51	v188	v191	61	-99	-0.387176,50.814889,0 -0.387077,50.814923,0 -0.38673,50.815003,0 -0.38649,50.815028,0
a159	91	v192	v193	-47	125	-0.365426,50.82695,0 -0.365923,50.827243,0 -0.366147,50.827375,0 -0.366398,50.827485,0
a160	87	v192	v123	135	-45	-0.365426,50.82695,0 -0.364551,50.826402,0
a161	35	v192	v194	-98	82	-0.365426,50.82695,0 -0.365922,50.826905,0
a162	125	v195	v196	88	-92	-0.386938,50.827959,0 -0.385161,50.828002,0
a163	44	v197	v198	-150	30	-0.363114,50.824747,0 -0.363428,50.824401,0
a164	197	v197	v199	-44	138	-0.363114,50.824747,0 -0.363849,50.825234,0 -0.36501,50.826053,0
a165	50	v197	v124	30	-150	-0.363114,50.824747,0 -0.362757,50.82514,0
a166	50	v199	v123	40	-140	-0.36501,50.826053,0 -0.364551,50.826402,0
a167	50	v199	v200	-140	40	-0.36501,50.826053,0 -0.365464,50.82571,0
a168	103	v199	v201	-44	136	-0.36501,50.826053,0 -0.366024,50.82672,0
a169	25	v202	v203	-5	175	-0.369406,50.82774,0 -0.369436,50.827965,0
a170	35	v202	v204	-96	84	-0.369406,50.82774,0 -0.369895,50.827709,0
a171	21	v202	v205	84	-96	-0.369406,50.82774,0 -0.36911,50.82776,0
a172	27	v206	v207	123	-78	-0.392313,50.822734,0 -0.392087,50.82264,0 -0.39197,50.822624,0
a173	126	v206	v208	28	-173	-0.392313,50.822734,0 -0.391895,50.823237,0 -0.391688,50.823603,0 -0.391655,50.82378,0
a174	18	v206	v209	-163	17	-0.392313,50.822734,0 -0.392388,50.822575,0
a175	15	v210	v211	-116	64	-0.375594,50.837396,0 -0.37579,50.837336,0
a176	96	v212	v210	-124	59	-0.374464,50.837876,0 -0.375508,50.837429,0 -0.375594,50.837396,0
a177	25	v213	v210	137	-11	-0.375751,50.837589,0 -0.375628,50.837505,0 -0.375594,50.837396,0
a178	41	v214	v215	88	-92	-0.367711,50.830061,0 -0.367129,50.830073,0
a179	365	v216	v217	167	-13	-0.36271,50.815578,0 -0.361512,50.812386,0
a180	33	v216	v218	-105	75	-0.36271,50.815578,0 -0.363164,50.815503,0
a181	81	v216	v139	73	-107	-0.36271,50.815578,0 -0.361605,50.815794,0
a182	84	v219	v220	-1	179	-0.370285,50.830092,0 -0.370311,50.83085,0
a183	90	v219	v221	-91	86	-0.370285,50.830092,0 -0.370847,50.830083,0 -0.370836,50.829963,0 -0.371368,50.829938,0
a184	10	v219	v222	177	-3	-0.370285,50.830092,0 -0.370279,50.830006,0
