vertex	d (m)	v1	v2	angle1 (deg)	angle2 (deg)	waypoins
v058	-0.378749,50.828242,0	a
v059	-0.379937,50.827745,0	a
v060	-0.357105,50.823109,0	a
v061	-0.358484,50.823318,0	a
v062	-0.355175,50.822666,0	a
v063	-0.357274,50.822651,0	a
v064	-0.3726,50.817683,0	a
v065	-0.372782,50.819237,0	a
v066	-0.373121,50.819372,0	a
v067	-0.372874,50.819953,0	a
v068	-0.373667,50.815331,0	a
v069	-0.371922,50.815701,0	a
v070	-0.371587,50.818275,0	a
v071	-0.370786,50.818304,0	a
v072	-0.380122,50.827722,0	a
v073	-0.379037,50.828662,0	a
v074	-0.379837,50.825901,0	a
v075	-0.387014,50.818328,0	a
v076	-0.38771,50.816802,0	a
v077	-0.387696,50.818954,0	a
v078	-0.383356,50.818069,0	a
v079	-0.381196,50.835814,0	a
v080	-0.380734,50.836858,0	a
v081	-0.383827,50.835595,0	a
v082	-0.381062,50.835958,0	a
v083	-0.3717,50.815735,0	a
v084	-0.371702,50.8157,0	a
v085	-0.372419,50.816636,0	a
v086	-0.371904,50.816031,0	a
v087	-0.377624,50.827126,0	a
v088	-0.378598,50.826189,0	a
v089	-0.371634,50.815716,0	a
v090	-0.371646,50.815699,0	a
v091	-0.370064,50.815713,0	a
v092	-0.368454,50.814676,0	a
v093	-0.368172,50.814127,0	a
v094	-0.368382,50.814826,0	a
v095	-0.371674,50.815692,0	a
v096	-0.371302,50.814534,0	a
v097	-0.371904,50.816031,0	a
v098	-0.371556,50.822297,0	a
v099	-0.371047,50.822304,0	a
v100	-0.371837,50.822292,0	a
v1000	-0.360292,50.812507,0	a
v1001	-0.360472,50.814165,0	a
v1002	-0.364477,50.83028,0	a
v1003	-0.371837,50.822292,0	a
v1004	-0.372984,50.822239,0	a
v1005	-0.373227,50.824033,0	a
v1006	-0.367749,50.814854,0	a
v1007	-0.372951,50.819953,0	a
v1008	-0.371047,50.822304,0	a
v1009	-0.381785,50.81103,0	a
v101	-0.370082,50.822325,0	a
v1010	-0.365536,50.813624,0	a
v1011	-0.365509,50.813571,0	a
v1012	-0.368995,50.818812,0	a
v1013	-0.367074,50.832735,0	a
v1014	-0.36725,50.834164,0	a
v1015	-0.367976,50.834125,0	a
v1016	-0.37294,50.818304,0	a
v1017	-0.365823,50.813338,0	a
v1018	-0.359419,50.811882,0	a
v1019	-0.359419,50.811882,0	a
v102	-0.364219,50.832701,0	a
v1020	-0.363073,50.814278,0	a
v1021	-0.366323,50.830443,0	a
v1022	-0.375394,50.823903,0	a
v1023	-0.366374,50.820364,0	a
v1024	-0.377193,50.823998,0	a
v1025	-0.370238,50.82915,0	a
v1026	-0.367102,50.820788,0	a
v1027	-0.364277,50.811264,0	a
v1028	-0.364334,50.811856,0	a
v1029	-0.364229,50.811861,0	a
v103	-0.361796,50.831154,0	a
v1030	-0.364643,50.815278,0	a
v1031	-0.360751,50.818782,0	a
v1032	-0.366374,50.820364,0	a
v1033	-0.390592,50.823384,0	a
v1034	-0.387716,50.819596,0	a
v1035	-0.379958,50.822679,0	a
v1036	-0.379958,50.822679,0	a
v1037	-0.361703,50.824533,0	a
v1038	-0.362535,50.81776,0	a
v1039	-0.363686,50.811237,0	a
v104	-0.365166,50.832717,0	a
v1040	-0.364884,50.82859,0	a
v1041	-0.361341,50.827844,0	a
v1042	-0.364884,50.82859,0	a
v1043	-0.371808,50.811942,0	a
v1044	-0.367554,50.81194,0	a
v1045	-0.367435,50.81187,0	a
v1046	-0.363695,50.811298,0	a
v1047	-0.363782,50.811888,0	a
v1048	-0.378446,50.816432,0	a
v1049	-0.378298,50.815698,0	a
v105	-0.364191,50.834078,0	a
