name	d (m)	v1	v2	angle1 (deg)	angle2 (deg)	waypoints
a076	183	v71	v52	57	-118	-0.3694153,50.8551728,0 -0.3688574,50.8554031,0 -0.3677416,50.8558907,0 -0.3672266,50.8560668,0
a077	34	v52	v72	13	-167	-0.3672266,50.8560668,0 -0.3671193,50.8563648,0
a078	443	v72	v53	15	-164	-0.3671193,50.8563648,0 -0.3669262,50.8568118,0 -0.3672695,50.8574349,0 -0.3676987,50.8581663,0 -0.3678918,50.8589113,0 -0.3677845,50.8599001,0 -0.3676343,50.8602251,0
a079	880	v72	v73	-45	127	-0.3671193,50.8563648,0 -0.367527,50.8566222,0 -0.3680849,50.8570556,0 -0.3683424,50.8573265,0 -0.3689647,50.8577735,0 -0.3692651,50.8581257,0 -0.3696084,50.8584101,0 -0.370059,50.8587894,0 -0.3706384,50.8592228,0 -0.3711748,50.8595885,0 -0.3717113,50.8599678,0 -0.3726339,50.8602522,0 -0.373385,50.8605367,0 -0.3742218,50.8607804,0 -0.3753591,50.8610513,0 -0.3762817,50.8614847,0
a080	671	v74	v75	127	-48	-0.3763461,50.8637059,0 -0.3757453,50.8634215,0 -0.3748012,50.8630016,0 -0.3743291,50.862812,0 -0.3737712,50.8626901,0 -0.3730416,50.8623922,0 -0.3722477,50.8620807,0 -0.3714538,50.8618911,0 -0.3708315,50.8615525,0 -0.3698015,50.8610513,0 -0.3687286,50.8606856,0 -0.3683424,50.8604689,0
a081	481	v73	v76	-32	101	-0.3762817,50.8614847,0 -0.3767753,50.8619859,0 -0.3772473,50.862338,0 -0.3778052,50.8625818,0 -0.3781486,50.8628527,0 -0.3787494,50.8631506,0 -0.3793716,50.8636111,0 -0.3800368,50.8638413,0 -0.3807878,50.8640445,0 -0.3814316,50.8641258,0
a082	440	v77	v78	112	-78	-0.3823543,50.8647487,0 -0.3816032,50.8645591,0 -0.3807878,50.8645591,0 -0.3796935,50.8645456,0 -0.3788781,50.8644237,0 -0.3776765,50.864058,0 -0.3763247,50.863882,0
a083	794	v78	v79	106	-93	-0.3763247,50.863882,0 -0.3757238,50.8637736,0 -0.3750587,50.8636788,0 -0.3743935,50.8635434,0 -0.3731489,50.863435,0 -0.3719687,50.863259,0 -0.3708315,50.8631371,0 -0.3695226,50.8630965,0 -0.368042,50.8630287,0 -0.366497,50.8628933,0 -0.3655744,50.8628256,0 -0.3651667,50.8628391,0
a084	1492	v80	v47	-173	-16	-0.3507042,50.8732801,0 -0.35079,50.8728468,0 -0.3515196,50.8718448,0 -0.3521204,50.8707615,0 -0.3526783,50.8698677,0 -0.35285,50.8693261,0 -0.3526783,50.8684323,0 -0.352807,50.8678365,0 -0.3532791,50.8665906,0 -0.3536654,50.8656967,0 -0.3542233,50.8649113,0 -0.3551674,50.8640445,0 -0.3563261,50.8629339,0 -0.3570127,50.8622567,0 -0.3574848,50.8617421,0 -0.3574848,50.8612274,0 -0.3573346,50.8608888,0
a085	578	v81	v82	163	-33	-0.3493738,50.8731718,0 -0.3489447,50.8722781,0 -0.3483009,50.8711136,0 -0.3473997,50.8700844,0 -0.3465414,50.8689198,0 -0.3460479,50.8684459,0
a086	1054	v82	v32	160	-21	-0.3460479,50.8684459,0 -0.3456616,50.8677823,0 -0.3451681,50.8673896,0 -0.3448462,50.866902,0 -0.3445029,50.8661437,0 -0.3440309,50.8648435,0 -0.3436661,50.863882,0 -0.3433228,50.8628798,0 -0.3430223,50.8622026,0 -0.3428292,50.8616473,0 -0.3425503,50.8611732,0 -0.3418422,50.860022,0 -0.3414989,50.8594666,0
a087	2311	v83	v84	117	15	-0.3736639,50.8900674,0 -0.3717327,50.8894448,0 -0.3696728,50.8886868,0 -0.367527,50.8879287,0 -0.3651667,50.887279,0 -0.3641367,50.8869812,0 -0.3615189,50.8869812,0 -0.3600597,50.8865209,0 -0.3584719,50.8858712,0 -0.3560257,50.8842738,0 -0.3540945,50.8830554,0 -0.3526354,50.8820807,0 -0.3512621,50.880429,0 -0.3501034,50.8792376,0 -0.349288,50.8781274,0 -0.3494382,50.8777618,0
